file,width,height,overall,error,white_pass,white_pX,white_pctBelow,white_min,white_median,white_count,white_worst,black_pass,black_pX,black_pctBelow,black_min,black_median,black_count,black_worst
symbols\10063.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10064.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10065.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10066.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10067.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10068.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10069.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1007.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10070.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10071.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10072.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10073.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10074.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10075.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10076.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10077.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10078.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10079.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1008.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10080.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10081.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10082.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10083.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10084.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10085.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10086.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10087.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10088.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10089.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1009.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10090.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10091.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10092.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10093.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10094.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10096.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10097.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10098.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10099.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\101.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1010.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10100.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10101.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10102.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10103.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10104.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10105.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10106.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10107.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10108.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10109.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1011.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
